ChkRef,Debit,Credit,Balance,Date,Description
,,51.57,1752.10,2021-11-16,INSTANT PAYROLL 211116 PPD
,51.34,,1700.53,2021-11-15,AMAZON.COM*HU30M POS SEATTLE WA US 000003
,14.99,,1751.87,2021-11-15,"Name.com, Inc POS 720-2492374 CO US 087585"
,13.46,,1766.86,2021-11-15,OUTBACK 1420 POS SKOKIE IL US 018384
,,722.40,1780.32,2021-11-15,NETWORK MECHANTS DIRECT DEP 211115 PPD
,,701.31,1057.92,2021-11-15,BETTERMENT SEC TRANSFER 211114 PPD
,,201.48,356.61,2021-11-15,BETTERMENT SEC TRANSFER 211114 PPD
,2.21,,155.13,2021-11-13,MCDONALD'S F83 POS HARWOOD HEIGH IL US 090885
,40.02,,157.34,2021-11-12,EXXONMOBIL 48 POS CHICAGO IL US 088154
,7.93,,197.36,2021-11-12,MCDONALD'S F83 POS HARWOOD HEIGH IL US 064806
,100.00,,205.29,2021-11-10,BETTERMENT SEC TRANSFER 211109 WEB
,11.60,,305.29,2021-11-10,COLECTIVO COFFEE POS CHICAGO IL US 019963
,4.40,,316.89,2021-11-10,MCDONALD'S F83 POS HARWOOD HEIGH IL US 032848
,0.30,,321.29,2021-11-09,eBay IncZ9T8DFGK PAYMENTS 211109 WEB
,4.41,,321.59,2021-11-09,MCDONALD'S F83 POS HARWOOD HEIGH IL US 027799
,24.43,,326.00,2021-11-05,BEST SUBMARINE # POS CHICAGO IL US 010833
,11.23,,350.43,2021-11-05,CHIPOTLE 0089 POS SKOKIE IL US 000266
,15.98,,361.66,2021-11-04,DISCOVER E-PAYMENT 211103 WEB
,11.43,,377.64,2021-11-04,MCDONALD'S F83 POS HARWOOD HEIGH IL US 037311
,24.96,,389.07,2021-11-03,MCDONALD'S F83 POS HARWOOD HEIGH IL US 032444
,,68.51,414.03,2021-11-02,INSTANT PAYROLL 211102 PPD
,39.00,,345.52,2021-11-01,PLANET FIT CLUB FEES PPD
,19.62,,384.52,2021-11-01,OUTBACK 1420 POS SKOKIE IL US 038341
,2.21,,404.14,2021-11-01,MCDONALD'S F83 POS HARWOOD HEIGH IL US 014167
,,308.64,406.35,2021-10-29,NETWORK MECHANTS DIRECT DEP 211029 PPD
,22.03,,97.71,2021-10-28,PET SUPPLIES PLU POS CHICAGO IL US 002770
,27.23,,119.74,2021-10-27,AMAZON.COM*HO4FC POS SEATTLE WA US 000000
,6.70,,146.97,2021-10-27,MCDONALD'S F83 POS HARWOOD HEIGH IL US 040848
,,58.83,153.67,2021-10-26,INSTANT PAYROLL 211026 PPD
,55.00,,94.84,2021-10-25,ZEL*JULIAN GONZA POS Visa Direct AZ US 967673
,2.21,,149.84,2021-10-25,MCDONALD'S F83 POS HARWOOD HEIGH IL US 074654
,,147.75,152.05,2021-10-25,Michael Dougherty POS Visa Direct CA US 818455
,39.61,,,2021-10-22,SHELL OIL 574440 POS CHICAGO IL US 003996 ****
,27.67,,,2021-10-20,COZY CORNE* COZY POS STRIPE.COM IL US 007275 ****
,,144.39,,2021-10-19,INSTANT PAYROLL 211019 PPD
,,215.63,,2021-10-19,Michael Dougherty POS Visa Direct CA US 837832 ****
,1900.00,,,2021-10-19,WITHDRAWAL NORWOOD OFFICE
,12.94,,,2021-10-19,JIMMY JOHNS - 56 POS CHICAGO IL US 058554 ****
,6.82,,,2021-10-19,MCDONALD'S F83 POS HARWOOD HEIGH IL US 041083 ****
,17.18,,,2021-10-19,RAISING CANE'S # POS HARWOOD HEIGH IL US 050427 ****
,4.17,,,2021-10-18,MCDONALD'S F83 POS HARWOOD HEIGH IL US 032437 ****
,13.08,,,2021-10-18,MCDONALD'S F83 POS HARWOOD HEIGH IL US 032655 ****
,14.30,,,2021-10-18,OUTBACK 1420 POS SKOKIE IL US 035641 ****
,98.00,,,2021-10-16,OLD TOWN SCHOOL POS 773-7286000 IL US 017898 ****
,6.69,,,2021-10-16,MCDONALD'S F83 POS HARWOOD HEIGH IL US 011795 ****
,7.29,,,2021-10-16,OUTBACK 1420 POS SKOKIE IL US 039248 ****
,,33.00,,2021-10-15,INTERNET TFR FRM CHK XXXX
,2.21,,,2021-10-15,MCDONALD'S F83 POS HARWOOD HEIGH IL US 067623 ****
,20.47,,,2021-10-14,OUTBACK 1420 POS SKOKIE IL US 009311 ****
,,82.77,,2021-10-13,INSTANT PAYROLL 211013 PPD
,,250.00,,2021-10-13,CCCGO REFUND 211012 PPD
,6.82,,,2021-10-13,MCDONALD'S F83 POS HARWOOD HEIGH IL US 040370 ****
,33.06,,,2021-10-13,CVS/PHARMACY #03 POS Chicago IL US 177227 ****
,8.04,,,2021-10-12,MCDONALD'S F83 POS HARWOOD HEIGH IL US 039499 ****
,500.00,,,2021-10-12,BETTERMENT SEC TRANSFER 211011 WEB
,500.00,,,2021-10-12,BETTERMENT SEC TRANSFER 211011 WEB
,40.06,,,2021-10-11,TOM - JOE POS CHICAGO IL US 271868 ****
,8.58,,,2021-10-11,SQ *WESTON'S COF POS Chicago IL US 051198 ****
,8.98,,,2021-10-11,MCDONALD'S M7882 POS SKOKIE IL US 059180 ****
,5.37,,,2021-10-09,MCDONALD'S M7882 POS SKOKIE IL US 072623 ****
,4.40,,,2021-10-09,MCDONALD'S F83 POS HARWOOD HEIGH IL US 002507 ****
,,750.00,,2021-10-08,CCCGO REFUND 211007 PPD
,16.28,,,2021-10-08,MCDONALD'S F83 POS HARWOOD HEIGH IL US 062464 ****
,,1500.00,,2021-10-07,VENMO CASHOUT 211006 PPD
,2.21,,,2021-10-06,MCDONALD'S F83 POS HARWOOD HEIGH IL US 045943 ****
,5.38,,,2021-10-06,MCDONALD'S F83 POS HARWOOD HEIGH IL US 046185 ****
,45.00,,,2021-10-06,ZEL*JULIAN GONZA POS Visa Direct AZ US 468940 ****
,,74.11,,2021-10-05,INSTANT PAYROLL 211005 PPD
,2.38,,,2021-10-05,MCDONALD'S F1011 POS TOLEDO OH US 039523 ****
,4.00,,,2021-10-05,TST* TREE CITY C POS KENT OH US 067560 ****
,2.21,,,2021-09-24,MCDONALD'S F83 POS HARWOOD HEIGH IL US 092273 ****
,1.00,,,2021-09-24,CASH APP*MICHAEL POS XXXX CA US 040153 ****
,,89.26,,2021-09-23,Michael Dougherty POS Visa Direct CA US 937782 ****
,15.70,,,2021-09-23,OUTBACK 1420 POS SKOKIE IL US 044729 ****
,19.96,,,2021-09-23,6211 PF ILLINOIS POS CHICAGO IL US 038391 ****
,12.77,,,2021-09-23,MCDONALD'S F83 POS HARWOOD HEIGH IL US 074727 ****
,100.00,,,2021-09-23,BETTERMENT SEC TRANSFER 210922 WEB
,5.50,,,2021-09-22,LITTLE MELS HOTD POS CHICAGO IL US 090005 ****
,2.21,,,2021-09-22,MCDONALD'S F83 POS HARWOOD HEIGH IL US 074701 ****
,8.62,,,2021-09-21,JIMMY JOHNS - 29 POS NILES IL US 062664 ****
,14.02,,,2021-09-21,OUTBACK 1420 POS SKOKIE IL US 063246 ****
,5.00,,,2021-09-21,DARK MATTER COFF POS CHICAGO IL US 027798 ****
,,113.04,,2021-09-20,Financial Instant POS Alpharetta GA US 091906 ****
,13.00,,,2021-09-18,SQ *WE WILL WOK POS CHILLICOTHE IL US 191706 ****
,7.80,,,2021-09-18,SQ *HOMETEAM PIZ POS Chicago IL US 011803 ****
,10.22,,,2021-09-18,DUNKIN #342335 Q POS CHICAGO IL US 007374 ****
,5.60,,,2021-09-17,OUTBACK 1420 POS SKOKIE IL US 013503 ****
,3.19,,,2021-09-17,CVS/PHARMACY #03 POS Chicago IL US 170804 ****
,8.98,,,2021-09-17,MCDONALD'S M7882 POS SKOKIE IL US 010201 ****
,152.91,,,2021-09-16,EB RIOT FEST 202 POS 801-413-7200 CA US 023412 ****
,5.83,,,2021-09-16,DUNKIN #350881 Q POS CHICAGO IL US 006114 ****
,20.00,,,2021-09-16,CASH APP*MICHAEL POS XXXX CA US 020082 ****
,4.98,,,2021-09-16,SQ *ATMOS COFFEE POS CHICAGO IL US 046338 ****
,,85.00,,2021-09-15,FIRST ASCENT CLI POS CHICAGO IL US 046168 ****
,,137.51,,2021-09-15,Michael Dougherty POS Visa Direct CA US 813220 ****
,10.09,,,2021-09-15,OUTBACK 1420 POS SKOKIE IL US 041700 ****
,17.72,,,2021-09-15,SUSHI TAKU POS CHICAGO IL US 048486 ****
,100.00,,,2021-09-15,BETTERMENT SEC TRANSFER 210914 WEB
,60.00,,,2021-09-15,BETTERMENT SEC TRANSFER 210914 WEB
,,246.25,,2021-09-14,Michael Dougherty POS Visa Direct CA US 949967 ****
,9.53,,,2021-09-14,OUTBACK 1420 POS SKOKIE IL US 030987 ****
,6.59,,,2021-09-14,SQ *WESTON'S COF POS Chicago IL US 001863 ****
,7.68,,,2021-09-14,SQ *LET'S CHANGE POS Chicago IL US 074837 ****
,25.80,,,2021-09-13,OUTBACK 1420 POS SKOKIE IL US 004463 ****
,45.00,,,2021-09-13,ZEL*JULIAN GONZA POS Visa Direct AZ US 342677 ****
,35.00,,,2021-09-13,EXXONMOBIL 48 POS CHICAGO IL US 020078 ****
,5.94,,,2021-09-11,Amazon.com*2G0XO POS Amzn.com/bill WA US 011858 ****
,18.78,,,2021-09-09,JIMMY JOHNS - 56 POS CHICAGO IL US 049363 ****
,17.39,,,2021-09-09,OUTBACK 1420 POS SKOKIE IL US 069556 ****
,,49.47,,2021-09-08,INSTANT PAYROLL 210908 PPD
,8.05,,,2021-09-08,CHINA FAST WOK POS CHICAGO IL US 047035 ****
,,137.44,,2021-09-07,INSTANT PAYROLL 210907 PPD
,14.02,,,2021-09-07,OUTBACK 1420 POS SKOKIE IL US 003632 ****
,17.67,,,2021-09-07,OUTBACK 1420 POS SKOKIE IL US 092218 ****
,6.37,,,2021-09-07,MCDONALD'S F83 POS HARWOOD HEIGH IL US 066567 ****
,4.15,,,2021-09-04,SQ *WESTON'S COF POS Chicago IL US 099659 ****
,5.74,,,2021-09-04,MCDONALD'S F866 POS CHICAGO IL US 061285 ****
,7.27,,,2021-09-03,MCDONALD'S F83 POS HARWOOD HEIGH IL US 097991 ****
,4.42,,,2021-09-03,MCDONALD'S F2930 POS CHICAGO IL US 026428 ****
,85.00,,,2021-09-02,FIRST ASCENT CLI POS CHICAGO IL US 020293 ****
,10.93,,,2021-09-02,OUTBACK 1420 POS SKOKIE IL US 053245 ****
,19.63,,,2021-09-01,OUTBACK 1420 POS SKOKIE IL US 000569 ****
,35.19,,,2021-09-01,BP#1700756N CENT POS CHICAGO IL US 078540 ****
,,44.79,,2021-08-31,INSTANT PAYROLL 210831 PPD
,11.06,,,2021-08-31,MCDONALD'S F6298 POS CHICAGO IL US 072157 ****
,,100.00,,2021-08-31,Square Inc * Cash App 210831 CCD TXXXX34
,5.48,,,2021-08-31,SQ *LET'S CHANGE POS Chicago IL US 044746 ****
,12.09,,,2021-08-31,Amazon.com*250TZ POS Amzn.com/bill WA US 056972 ****
,,115.46,,2021-08-30,Michael Dougherty POS Visa Direct CA US 966349 ****
,19.66,,,2021-08-30,SQ *WESTON'S COF POS CHICAGO IL US 342514 ****
,,15.00,,2021-08-27,PAYPAL *SPP POS 402-935-7733 CA US 020668 ****
,2.76,,,2021-08-27,NORWOOD LIFE SOC POS CHICAGO IL US 087654 ****
,2.20,,,2021-08-26,MCDONALD'S F4417 POS CHICAGO IL US 039686 ****
,15.00,,,2021-08-26,PAYPAL *SPP POS 402-935-7733 CA US 076817 ****
,15.00,,,2021-08-26,PAYPAL *SPP POS 402-935-7733 CA US 094639 ****
,4.17,,,2021-08-26,MCDONALD'S F83 POS HARWOOD HEIGH IL US 022749 ****
,,40.00,,2021-08-25,Financial Instant POS Alpharetta GA US 250498 ****
,30.00,,,2021-08-25,LAKSHAMI CORP. POS HARWOOD HEIGH IL US 483944 ****
,,49.71,,2021-08-23,Michael Dougherty POS Visa Direct CA US 816561 ****
,6.69,,,2021-08-23,MCDONALD'S F83 POS HARWOOD HEIGH IL US 046680 ****
,11.21,,,2021-08-23,OUTBACK 1420 POS SKOKIE IL US 000589 ****
,20.45,,,2021-08-23,MCDONALD'S F83 POS HARWOOD HEIGH IL US 052729 ****
,25.00,,,2021-08-23,ZEL*JULIAN GONZA POS Visa Direct AZ US 245998 ****
,5.49,,,2021-08-21,TST* NOBAKED COO POS NASHVILLE TN US 080291 ****
,6.56,,,2021-08-20,SQ *HEART OF NAS POS Nashville TN US 073870 ****
,,38.44,,2021-08-19,INSTANT PAYROLL 210819 PPD
,21.85,,,2021-08-19,SQ *RHINO BOOKSE POS NASHVILLE TN US 381659 ****
,4.31,,,2021-08-18,MCDONALD'S F866 POS CHICAGO IL US 027968 ****
,10.75,,,2021-08-18,eBay IncUKC9XHSE PAYMENTS 210818 WEB
,,10.45,,2021-08-17,EBAY EDI PYMNTS CCD TXXXXXXT
,,87.32,,2021-08-17,Michael Dougherty POS Visa Direct CA US 829359 ****
,160.00,,,2021-08-17,WITHDRAWAL FOSTER OFFICE
,,100.00,,2021-08-16,INTERNET TFR FRM CHK XXXX
,30.64,,,2021-08-16,MY MART POS CHICAGO IL US 795571 ****
,15.14,,,2021-08-16,OUTBACK 1420 POS SKOKIE IL US 001262 ****
,5.60,,,2021-08-14,OUTBACK 1420 POS SKOKIE IL US 000024 ****
,5.74,,,2021-08-13,MCDONALD'S F866 POS CHICAGO IL US 068504 ****
,10.63,,,2021-08-13,POTBELLY # 181 POS 847-692-6699 IL US 062426 ****
,15.30,,,2021-08-13,OBERWEIS DAIRY POS PARK RIDGE IL US 015921 ****
,,15.00,,2021-08-12,INTERNET TFR FRM CHK XXXX
,8.57,,,2021-08-12,MCDONALD'S F4417 POS CHICAGO IL US 069079 ****
,3.88,,,2021-08-12,CVS/PHARMACY #03 POS Chicago IL US 041353 ****
,45.00,,,2021-08-11,ZEL*JULIAN GONZA POS Visa Direct AZ US 825123 ****
,,14.75,,2021-08-11,Dougherty Mike POS New York City NY US 557180 ****
,,103.17,,2021-08-11,Michael Dougherty POS Visa Direct CA US 900831 ****
,12.54,,,2021-08-11,MCDONALD'S F83 POS HARWOOD HEIGH IL US 002524 ****
,10.22,,,2021-08-11,MCDONALD'S F83 POS HARWOOD HEIGH IL US 002880 ****
,20.00,,,2021-08-10,CASH APP*MICHAEL POS XXXX CA US 032570 ****
,,59.38,,2021-08-09,Financial Instant POS Alpharetta GA US 090155 ****
,18.78,,,2021-08-09,OUTBACK 1420 POS SKOKIE IL US 035586 ****
,4.41,,,2021-08-09,WALGREENS STORE POS CHICAGO IL US 158516 ****
,12.99,,,2021-08-09,MCDONALD'S F83 POS HARWOOD HEIGH IL US 038367 ****
,,30.00,,2021-08-07,Financial Instant POS Alpharetta GA US 807028 ****
,,15.00,,2021-08-07,INTERNET TFR FRM CHK XXXX
,25.26,,,2021-08-07,MY MART POS CHICAGO IL US 393986 ****
,,25.00,,2021-08-06,VENMO CASHOUT 210805 PPD
,8.04,,,2021-08-06,MCDONALD'S F83 POS HARWOOD HEIGH IL US 029405 ****
,4.96,,,2021-08-06,MCDONALD'S F83 POS HARWOOD HEIGH IL US 029844 ****
,,10.00,,2021-08-05,INTERNET TFR FRM CHK XXXX
,42.09,,,2021-08-05,CAVIAR*HONEY BUT POS WWW.DOORDASH. CA US 068474 ****
,,25.00,,2021-08-04,INTERNET TFR FRM CHK XXXX
,24.62,,,2021-08-04,JERSEY MIKES 270 POS PARK RIDGE IL US 000018 ****
,,43.11,,2021-08-03,INSTANT PAYROLL 210803 PPD
,,35.00,,2021-08-02,INTERNET TFR FRM CHK XXXX
,,20.00,,2021-08-02,VENMO CASHOUT 210801 PPD
,,22.00,,2021-08-02,INTERNET TFR FRM CHK XXXX
,42.86,,,2021-08-02,GRUBHUBRUKSUSHIT POS GRUBHUB.COM NY US 052979 ****
,15.00,,,2021-08-02,FASTWAY MART POS CHICAGO IL US 462684 ****
,85.00,,,2021-08-02,FIRST ASCENT CLI POS CHICAGO IL US 035361 ****
,6.62,,,2021-08-02,MCDONALD'S F83 POS HARWOOD HEIGH IL US 074120 ****
,30.00,,,2021-08-02,COINBASE INC. XXXX 210731 WEB
,7.74,,,2021-07-31,MCDONALD'S F866 POS CHICAGO IL US 072346 ****
,6.18,,,2021-07-30,MCDONALD'S F4417 POS CHICAGO IL US 040832 ****
,5.06,,,2021-07-29,MCDONALD'S F83 POS HARWOOD HEIGH IL US 022168 ****
,18.15,,,2021-07-29,MCDONALD'S F83 POS HARWOOD HTS IL US 794246 ****
,13.46,,,2021-07-29,OUTBACK 1420 POS SKOKIE IL US 051935 ****
,,200.00,,2021-07-27,BETTERMENT SEC TRANSFER 210726 PPD
,50.00,,,2021-07-27,INTERNET TFR TO CHK XXXX
,6.37,,,2021-07-26,MCDONALD'S F83 POS HARWOOD HEIGH IL US 046048 ****
,,15.00,,2021-07-24,INTERNET TFR FRM CHK XXXX
,,14.41,,2021-07-24,Michael Dougherty POS Visa Direct CA US 867705 ****
,20.14,,,2021-07-24,LAKSHAMI CORP. POS HARWOOD HEIGH IL US 331211 ****
,6.69,,,2021-07-23,MCDONALD'S F83 POS HARWOOD HEIGH IL US 040564 ****
,14.08,,,2021-07-23,MCDONALD'S F83 POS HARWOOD HEIGH IL US 040672 ****
,,9.75,,2021-07-22,Michael Dougherty POS Visa Direct CA US 478739 ****
,,25.00,,2021-07-22,INTERNET TFR FRM CHK XXXX
,3.85,,,2021-07-22,MCDONALD'S F866 POS CHICAGO IL US 032657 ****
,6.70,,,2021-07-22,DD/BR #304935 Q3 POS CHICAGO IL US 093988 ****
,30.00,,,2021-07-22,ZEL*JULIAN GONZA POS Visa Direct AZ US 550795 ****
,29.40,,,2021-07-22,CVS/PHARMACY #03 POS Chicago IL US 031818 ****
,,40.79,,2021-07-21,Michael Dougherty POS Visa Direct CA US 991468 ****
,,84.15,,2021-07-21,Dougherty Mike POS New York City NY US 668412 ****
,60.00,,,2021-07-21,6336 N MILWAUKEE AV ATM CHICAGO IL US 009708 ****
,25.00,,,2021-07-21,CASH APP*MICHAEL POS XXXX CA US 072428 ****
,6.07,,,2021-07-17,MCDONALD'S F866 POS CHICAGO IL US 023004 ****
,,14.75,,2021-07-16,Dougherty Mike POS New York City NY US 165986 ****
,11.30,,,2021-07-16,MCDONALD'S F83 POS HARWOOD HEIGH IL US 047499 ****
,,20.00,,2021-07-13,INTERNET TFR FRM CHK XXXX
,7.27,,,2021-07-13,MCDONALD'S F83 POS HARWOOD HEIGH IL US 003582 ****
,,20.00,,2021-07-12,INTERNET TFR FRM CHK XXXX
,14.96,,,2021-07-12,MCDONALD'S F912 POS CHICAGO IL US 094572 ****
,18.00,,,2021-07-12,CASH APP*MICHAEL POS XXXX CA US 095216 ****
,5.85,,,2021-07-12,MCDONALD'S F866 POS CHICAGO IL US 062042 ****
,7.09,,,2021-07-12,LAKSHAMI CORP. POS HARWOOD HEIGH IL US 977297 ****
,3.51,,,2021-07-10,FIRST ASCENT CLI POS CHICAGO IL US 002798 ****
,,30.00,,2021-07-09,INTERNET TFR FRM CHK XXXX
,71.00,,,2021-07-07,FIRST ASCENT CLI POS CHICAGO IL US 093495 ****
,,8.75,,2021-07-06,Michael Dougherty POS Visa Direct CA US 363314 ****
,,14.75,,2021-07-06,Dougherty Mike POS New York City NY US 254211 ****
,,20.00,,2021-07-06,INTERNET TFR FRM CHK XXXX
,30.00,,,2021-07-06,ZEL*JULIAN GONZA POS Visa Direct AZ US 184762 ****
,7.38,,,2021-07-06,MCDONALD'S F83 POS HARWOOD HEIGH IL US 044744 ****
,18.03,,,2021-07-06,MCDONALD'S F83 POS HARWOOD HTS IL US 905486 ****
,9.01,,,2021-07-06,MCDONALD'S F83 POS HARWOOD HEIGH IL US 077346 ****
,2.66,,,2021-07-06,838 BOWLERO 800 POS NILES IL US 073590 ****
,18.10,,,2021-07-06,838 BOWLERO 800 POS NILES IL US 073582 ****
,20.23,,,2021-07-06,LAKSHAMI CORP. POS HARWOOD HEIGH IL US 085999 ****
,100.00,,,2021-07-06,BETTERMENT SEC TRANSFER 210705 WEB
,12.00,,,2021-07-06,BETTERMENT SEC TRANSFER 210705 WEB
,25.66,,,2021-07-03,CULVERS HARWOOD POS HARWOOD HEIGH IL US 083392 ****
,7.27,,,2021-07-03,MCDONALD'S F83 POS HARWOOD HEIGH IL US 099013 ****
,,26.00,,2021-07-02,INTERNET TFR FRM CHK XXXX
,36.85,,,2021-07-01,838 BOWLERO 800 POS NILES IL US 035442 ****
,22.78,,,2021-07-01,JIMMY JOHNS - 56 POS 773-625-2551 IL US 088237 ****
,10.00,,,2021-06-30,CASH APP*MICHAEL POS XXXX CA US 018804 ****
,8.52,,,2021-06-29,DD/BR #308162 Q3 POS RIVER GROVE IL US 041459 ****
,6.41,,,2021-06-29,DD/BR #308162 Q3 POS RIVER GROVE IL US 041458 ****
,,50.00,,2021-06-28,DEPOSIT FOSTER OFFICE
,80.00,,,2021-06-28,WITHDRAWAL FOSTER OFFICE
,2.21,,,2021-06-28,MCDONALD'S F83 POS HARWOOD HEIGH IL US 037211 ****
,12.00,,,2021-06-28,CASH APP*MICHAEL POS XXXX CA US 087036 ****
,58.52,,,2021-06-28,THE HOME DEPOT # POS NILES IL US 002107 ****
,15.00,,,2021-06-28,VENMO PAYMENT 210625 WEB
,,19.34,,2021-06-24,Square Inc * Cash App 210624 CCD TXXXX38
,2.00,,,2021-06-24,CASH APP*MICHAEL POS XXXX CA US 077149 ****
,20.75,,,2021-06-24,THE HOME DEPOT # POS NILES IL US 001088 ****
,,57.73,,2021-06-23,INSTANT PAYROLL 210623 PPD
,51.15,,,2021-06-23,PHIL'S PIZZA D'O POS 773-763-2285 IL US 020030 ****
,6.86,,,2021-06-23,MCDONALD'S F866 POS CHICAGO IL US 086043 ****
,,50.00,,2021-06-22,INTERNET TFR FRM CHK XXXX
,30.14,,,2021-06-22,7-ELEVEN 38544 POS CHICAGO IL US 515500 ****
,45.83,,,2021-06-22,AMAZON.COM*219SP POS SEATTLE WA US 407602 ****
,6.37,,,2021-06-22,MCDONALD'S F83 POS HARWOOD HEIGH IL US 003653 ****
,11.84,,,2021-06-18,DAIRY QUEEN PARK POS PARK RIDGE IL US 030111 ****
,2.21,,,2021-06-18,MCDONALD'S F83 POS HARWOOD HEIGH IL US 046123 ****
,20.91,,,2021-06-17,WALGREENS STORE POS CHICAGO IL US 253737 ****
,6.58,,,2021-06-17,JAYS FOOD & LIQU POS CHICAGO IL US 002856 ****
,,20.00,,2021-06-16,INTERNET TFR FRM CHK XXXX
,20.00,,,2021-06-16,CASH APP*MICHAEL POS XXXX CA US 016287 ****
,14.85,,,2021-06-16,MCDONALD'S F83 POS HARWOOD HEIGH IL US 009787 ****
,17.95,,,2021-06-16,POTBELLY #181 POS PARK RIDGE IL US 086105 ****
,,83.54,,2021-06-15,INSTANT PAYROLL 210615 PPD
,10.00,,,2021-06-14,VENMO PAYMENT 210612 WEB
,2.21,,,2021-06-12,MCDONALD'S F83 POS HARWOOD HEIGH IL US 067999 ****
,2.21,,,2021-06-12,MCDONALD'S F83 POS HARWOOD HEIGH IL US 068213 ****
,5.00,,,2021-06-12,CASH APP*MICHAEL POS XXXX CA US 016155 ****
,9.34,,,2021-06-11,MCDONALD'S F83 POS HARWOOD HEIGH IL US 034504 ****
,,500.00,,2021-06-09,BETTERMENT SEC TRANSFER 210608 PPD
,12.12,,,2021-06-09,MCDONALD'S F83 POS HARWOOD HEIGH IL US 096328 ****
,20.00,,,2021-06-08,CASH APP*MICHAEL POS XXXX CA US 065330 ****
,2.92,,,2021-06-08,STARBUCKS STORE POS HARWOOD HEIGH IL US 058978 ****
,3.93,,,2021-06-08,STARBUCKS STORE POS HARWOOD HEIGH IL US 059024 ****
,,10.00,,2021-06-07,INTERNET TFR FRM CHK XXXX
,,60.09,,2021-06-07,Financial Instant POS Alpharetta GA US 060706 ****
,94.01,,,2021-06-07,JERSEY MIKES 270 POS NILES IL US 000068 ****
,2.22,,,2021-06-07,MCDONALD'S F866 POS CHICAGO IL US 025546 ****
,10.27,,,2021-06-07,WENDYS #0981 POS CHICAGO IL US 143088 ****
,,111.08,,2021-06-05,Michael Dougherty POS Visa Direct CA US 360050 ****
,40.00,,,2021-06-04,BETTERMENT SEC TRANSFER 210603 WEB
,17.92,,,2021-06-03,JIMMY JOHNS - 56 POS CHICAGO IL US 004545 ****
,20.31,,,2021-06-03,SHELL SERVICE ST POS CHICAGO IL US 374653 ****
